file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,54,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,5
style.css,55,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,13
style.css,56,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,31
style.css,57,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,9
style.css,58,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,14
style.css,59,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,60,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,61,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,5
style.css,62,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,17
style.css,63,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,64,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,65,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,66,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,16
style.css,67,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,11
style.css,68,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,15
style.css,69,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,70,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,71,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,6
style.css,72,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,19
style.css,73,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,20
style.css,74,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,75,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,76,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,13
style.css,77,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,13
style.css,78,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,59
style.css,79,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,80,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,81,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,8
style.css,82,css,35318404,NGLYRY,2025-01-17,22:29:18,-08:00,2025-01-17T22:29:18-08:00,0,13
style.css,83,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,27
style.css,84,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,16
style.css,85,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,8
style.css,86,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,87,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,88,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,3
style.css,89,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,9
style.css,90,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,16
style.css,91,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,18
style.css,92,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,93,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,94,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,19
style.css,95,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,16
style.css,96,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,18
style.css,97,css,dd57adaa,NGLYRY,2025-01-25,16:39:36,-08:00,2025-01-25T16:39:36-08:00,0,0
style.css,98,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,99,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,3
style.css,100,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,13
style.css,101,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,61
style.css,102,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,9
style.css,103,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,16
style.css,104,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,12
style.css,105,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,106,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,107,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,15
style.css,108,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,18
style.css,109,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,110,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,111,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,3
style.css,112,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,17
style.css,113,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,17
style.css,114,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,25
style.css,115,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,30
style.css,116,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,44
style.css,117,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,118,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,0
style.css,119,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,3
style.css,120,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,15
style.css,121,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,17
style.css,122,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,9
style.css,123,css,1590c054,NGLYRY,2025-01-31,15:54:13,-08:00,2025-01-31T15:54:13-08:00,0,45
style.css,124,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,125,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,126,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,14
style.css,127,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,17
style.css,128,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,18
style.css,129,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,30
style.css,130,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,131,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,132,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,19
style.css,133,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,15
style.css,134,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,17
style.css,135,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,136,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,17
style.css,137,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,138,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,0
style.css,139,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,8
style.css,140,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,21
style.css,141,css,7e722c61,NGLYRY,2025-02-07,23:14:59,-08:00,2025-02-07T23:14:59-08:00,0,30
